16	16	4	1206612	144825	89.28
32	16	4	1290733	60704	95.51
64	16	4	1316526	34911	97.42
128	16	4	1322572	28865	97.86
16	32	4	1288618	62819	95.35
32	32	4	1315150	36287	97.31
64	32	4	1329117	22320	98.35
128	32	4	1337599	13838	98.98
16	64	4	1308495	42942	96.82
32	64	4	1326713	24724	98.17
64	64	4	1339133	12304	99.09
128	64	4	1345109	6328	99.53
16	128	4	1321154	30283	97.76
32	128	4	1336681	14756	98.91
64	128	4	1344749	6688	99.51
128	128	4	1347811	3626	99.73
16	256	4	1333544	17893	98.68
32	256	4	1342916	8521	99.37
64	256	4	1346548	4889	99.64
128	256	4	1348721	2716	99.80
16	512	4	1339220	12217	99.10
32	512	4	1344402	7035	99.48
64	512	4	1347493	3944	99.71
128	512	4	1349176	2261	99.83
16	1024	4	1340788	10649	99.21
32	1024	4	1345331	6106	99.55
64	1024	4	1347952	3485	99.74
128	1024	4	1349421	2016	99.85
16	2048	4	1341747	9690	99.28
32	2048	4	1345794	5643	99.58
64	2048	4	1348235	3202	99.76
128	2048	4	1349588	1849	99.86
16	4096	4	1342229	9208	99.32
32	4096	4	1346197	5240	99.61
64	4096	4	1348415	3022	99.78
128	4096	4	1349642	1795	99.87
16	8192	4	1342672	8765	99.35
32	8192	4	1346376	5061	99.63
64	8192	4	1348472	2965	99.78
128	8192	4	1349674	1763	99.87
16	16384	4	1342864	8573	99.37
32	16384	4	1346428	5009	99.63
64	16384	4	1348502	2935	99.78
128	16384	4	1349676	1761	99.87
16	32768	4	1342933	8504	99.37
32	32768	4	1346463	4974	99.63
64	32768	4	1348502	2935	99.78
128	32768	4	1349679	1758	99.87
16	65536	4	1342969	8468	99.37
32	65536	4	1346463	4974	99.63
64	65536	4	1348506	2931	99.78
128	65536	4	1349679	1758	99.87
16	131072	4	1342969	8468	99.37
32	131072	4	1346464	4973	99.63
64	131072	4	1348506	2931	99.78
128	131072	4	1349679	1758	99.87
16	32	8	1282464	68973	94.90
32	32	8	1311559	39878	97.05
64	32	8	1326452	24985	98.15
128	32	8	1335400	16037	98.81
16	64	8	1304372	47065	96.52
32	64	8	1323167	28270	97.91
64	64	8	1335725	15712	98.84
128	64	8	1343028	8409	99.38
16	128	8	1316089	35348	97.38
32	128	8	1332970	18467	98.63
64	128	8	1342473	8964	99.34
128	128	8	1346979	4458	99.67
16	256	8	1327509	23928	98.23
32	256	8	1340665	10772	99.20
64	256	8	1345906	5531	99.59
128	256	8	1347905	3532	99.74
16	512	8	1336642	14795	98.91
32	512	8	1343863	7574	99.44
64	512	8	1346987	4450	99.67
128	512	8	1348836	2601	99.81
16	1024	8	1340099	11338	99.16
32	1024	8	1344781	6656	99.51
64	1024	8	1347624	3813	99.72
128	1024	8	1349203	2234	99.83
16	2048	8	1341003	10434	99.23
32	2048	8	1345367	6070	99.55
64	2048	8	1348012	3425	99.75
128	2048	8	1349460	1977	99.85
16	4096	8	1341757	9680	99.28
32	4096	8	1345891	5546	99.59
64	4096	8	1348294	3143	99.77
128	4096	8	1349598	1839	99.86
16	8192	8	1342316	9121	99.33
32	8192	8	1346265	5172	99.62
64	8192	8	1348436	3001	99.78
128	8192	8	1349647	1790	99.87
16	16384	8	1342731	8706	99.36
32	16384	8	1346395	5042	99.63
64	16384	8	1348483	2954	99.78
128	16384	8	1349675	1762	99.87
16	32768	8	1342890	8547	99.37
32	32768	8	1346443	4994	99.63
64	32768	8	1348504	2933	99.78
128	32768	8	1349676	1761	99.87
16	65536	8	1342951	8486	99.37
32	65536	8	1346464	4973	99.63
64	65536	8	1348504	2933	99.78
128	65536	8	1349679	1758	99.87
16	131072	8	1342969	8468	99.37
32	131072	8	1346464	4973	99.63
64	131072	8	1348506	2931	99.78
128	131072	8	1349679	1758	99.87
16	64	16	1293509	57928	95.71
32	64	16	1314899	36538	97.30
64	64	16	1329875	21562	98.40
128	64	16	1337211	14226	98.95
16	128	16	1306752	44685	96.69
32	128	16	1327083	24354	98.20
64	128	16	1337656	13781	98.98
128	128	16	1344115	7322	99.46
16	256	16	1318963	32474	97.60
32	256	16	1335693	15744	98.84
64	256	16	1343065	8372	99.38
128	256	16	1347107	4330	99.68
16	512	16	1329517	21920	98.38
32	512	16	1341120	10317	99.24
64	512	16	1346134	5303	99.61
128	512	16	1348322	3115	99.77
16	1024	16	1336951	14486	98.93
32	1024	16	1343831	7606	99.44
64	1024	16	1346985	4452	99.67
128	1024	16	1348872	2565	99.81
16	2048	16	1340133	11304	99.16
32	2048	16	1344694	6743	99.50
64	2048	16	1347614	3823	99.72
128	2048	16	1349227	2210	99.84
16	4096	16	1341071	10366	99.23
32	4096	16	1345459	5978	99.56
64	4096	16	1347877	3560	99.74
128	4096	16	1349468	1969	99.85
16	8192	16	1341749	9688	99.28
32	8192	16	1345774	5663	99.58
64	8192	16	1348315	3122	99.77
128	8192	16	1349615	1822	99.87
16	16384	16	1342332	9105	99.33
32	16384	16	1346269	5168	99.62
64	16384	16	1348442	2995	99.78
128	16384	16	1349658	1779	99.87
16	32768	16	1342760	8677	99.36
32	32768	16	1346399	5038	99.63
64	32768	16	1348487	2950	99.78
128	32768	16	1349677	1760	99.87
16	65536	16	1342898	8539	99.37
32	65536	16	1346448	4989	99.63
64	65536	16	1348505	2932	99.78
128	65536	16	1349679	1758	99.87
16	131072	16	1342956	8481	99.37
32	131072	16	1346465	4972	99.63
64	131072	16	1348505	2932	99.78
128	131072	16	1349679	1758	99.87
16	128	32	1302597	48840	96.39
32	128	32	1317091	34346	97.46
64	128	32	1330672	20765	98.46
128	128	32	1338932	12505	99.07
16	256	32	1311101	40336	97.02
32	256	32	1327060	24377	98.20
64	256	32	1338092	13345	99.01
128	256	32	1344617	6820	99.50
16	512	32	1323219	28218	97.91
32	512	32	1334384	17053	98.74
64	512	32	1344077	7360	99.46
128	512	32	1347491	3946	99.71
16	1024	32	1334577	16860	98.75
32	1024	32	1341836	9601	99.29
64	1024	32	1346271	5166	99.62
128	1024	32	1348291	3146	99.77
16	2048	32	1339206	12231	99.09
32	2048	32	1343857	7580	99.44
64	2048	32	1346905	4532	99.66
128	2048	32	1348818	2619	99.81
16	4096	32	1340685	10752	99.20
32	4096	32	1344833	6604	99.51
64	4096	32	1347595	3842	99.72
128	4096	32	1349225	2212	99.84
16	8192	32	1341545	9892	99.27
32	8192	32	1345386	6051	99.55
64	8192	32	1348017	3420	99.75
128	8192	32	1349473	1964	99.85
16	16384	32	1342159	9278	99.31
32	16384	32	1345891	5546	99.59
64	16384	32	1348317	3120	99.77
128	16384	32	1349616	1821	99.87
16	32768	32	1342583	8854	99.34
32	32768	32	1346268	5169	99.62
